DOID_13790	MONDO_0001802
DOID_8288	MONDO_0004523
DOID_11983	MONDO_0008300
DOID_6445	MONDO_0003879
DOID_4468	MONDO_0005004
DOID_0050870	MONDO_0000503
DOID_0060271	MONDO_0014370
DOID_0080290	MONDO_0033483
DOID_7333	MONDO_0004190
DOID_0111522	MONDO_0009783
DOID_0060551	MONDO_0011405
DOID_12403	MONDO_0005984
DOID_0110469	MONDO_0011360
DOID_0110966	MONDO_0007217
DOID_4639	MONDO_0003069
DOID_0060574	MONDO_0013304
DOID_2222	MONDO_0009212
DOID_0050800	MONDO_0010305
DOID_9726	MONDO_0007017
DOID_9267	MONDO_0004739
DOID_10176	MONDO_0000958
DOID_0060470	MONDO_0018274
DOID_0080488	MONDO_0019248
DOID_0090041	MONDO_0007493
DOID_2228	MONDO_0002249
DOID_0110962	MONDO_0007214
DOID_0080656	MONDO_0015779
DOID_9095	MONDO_0004708
DOID_3590	MONDO_0018944
DOID_0050838	MONDO_0000479
DOID_9547	MONDO_0004817
DOID_0110222	MONDO_0013015
DOID_0080493	MONDO_0024463
DOID_9505	MONDO_0005689
DOID_9467	MONDO_0008061
DOID_0050571	MONDO_0005501
DOID_8970	MONDO_0009835
DOID_0111473	MONDO_0012718
DOID_0050920	MONDO_0000535
DOID_0070256	MONDO_0011772
DOID_0070345	MONDO_0032607
DOID_0090078	MONDO_0007794
DOID_0080073	MONDO_0000859
DOID_5408	MONDO_0005382
DOID_2748	MONDO_0009291
DOID_13248	MONDO_0001671
DOID_0110055	MONDO_0007538
DOID_3329	MONDO_0007295
DOID_11134	MONDO_0001203
DOID_0111747	MONDO_0013029
DOID_0060092	MONDO_0000630
DOID_120	MONDO_0001416
DOID_14287	MONDO_0001936
DOID_0060183	MONDO_0000703
DOID_12986	MONDO_0006831
DOID_0050596	MONDO_0000367
DOID_0111432	MONDO_0014756
DOID_0080111	MONDO_0007415
DOID_0110232	MONDO_0007282
DOID_11390	MONDO_0001277
DOID_2682	MONDO_0002388
DOID_2409	MONDO_0005946
DOID_0070222	MONDO_0011156
DOID_3502	MONDO_0002670
DOID_979	MONDO_0004882
DOID_1201	MONDO_0001420
DOID_4436	MONDO_0002997
DOID_11727	MONDO_0001347
DOID_0111013	MONDO_0011395
DOID_0060311	MONDO_0000740
DOID_1142	MONDO_0001281
DOID_2080	MONDO_0002201
DOID_0060300	MONDO_0012412
DOID_9335	MONDO_0004758
DOID_0110443	MONDO_0010951
DOID_3227	MONDO_0002568
DOID_7519	MONDO_0004259
DOID_4730	MONDO_0006004
DOID_0050061	MONDO_0000237
DOID_0111345	MONDO_0007548
